Country ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 Africa,5298.4734,5449.6417,5424.5843,5544.1013,5588.1165,5675.982,5734.9986,5727.4155,5760.2208,5778.849,5815.4459,5600.3154,5710.1061,5797.9717,5864.9012
 Americas,29283.4579,30249.1546,30993.951,31732.648,32186.1529,32648.7246,33046.8395,32815.8834,33197.0187,33576.3407,33737.5649,31683.5224,33580.7917,34354.437,34933.5583
 Asia,9843.2484,10476.6056,11081.2788,11457.7983,11956.1426,12414.4282,12821.2802,13316.3276,13823.5738,14359.0096,14760.2568,14329.0068,15203.376,15627.7023,16211.1097
 Europe,40931.659,41554.1361,41873.6172,41172.5062,41409.397,41758.8809,42597.3127,43589.7152,44992.7614,46050.7746,46866.6218,43342.6037,46700.6169,48257.1393,48414.5719
 MENA,16370.8502,17023.3302,17629.9816,17840.8259,18046.2301,18195.5851,18390.7686,18991.4853,19131.4437,19124.8497,19049.348,18430.4976,19267.2809,20164.7293,20324.7995
 Oceania,35006.4224,35209.6836,35335.6297,35833.8092,36386.2246,36555.8562,36022.8932,36117.1879,36360.1782,36819.288,36974.9072,36839.0701,37265.2097,37472.5922,37623.2659
 World,14345.4918,14909.4468,15373.0076,15635.1206,15993.5065,16341.0122,16673.5165,16980.3041,17410.2353,17828.7918,18117.6106,17246.868,18240.5894,18688.3245,19105.8918
